sensor1,sensor2,sensor3,kneesensor
4,15,779,713
8,17,499,665
16,25,516,548
11,18,428,515
12,20,501,632
11,19,476,781
11,20,528,754
14,16,141,678
8,8,3,699
8,7,0,713
5,5,73,732
1,11,730,726
18,36,497,653
8,15,433,511
3,11,428,516
1,9,461,637
0,6,453,783
0,0,0,757
0,0,2,683
1,1,0,713
1,1,0,737
6,11,433,754
4,10,460,721
16,23,419,631
12,18,384,531
12,17,371,593
12,19,426,734
10,16,409,808
10,10,0,744
9,10,119,688
10,10,0,701
10,10,0,709
7,9,119,730
2,12,758,728
15,28,513,661
10,18,459,526
9,16,431,528
9,17,440,648
9,16,455,779
7,7,0,741
2,3,13,689
5,5,0,696
6,6,0,719
5,12,456,729
4,17,820,710
17,27,507,657
14,22,481,555
13,19,359,546
11,18,443,667
10,16,341,781
20,19,0,749
11,11,0,713
10,10,0,716
11,11,0,737
9,12,252,738
7,18,758,723
21,32,489,632
14,21,408,548
13,19,348,574
14,21,408,713
13,20,430,806
17,17,0,745
14,14,0,716
14,14,0,713
12,12,5,722
7,8,121,726
9,21,819,724
17,26,479,641
12,20,430,552
11,18,385,590
12,20,446,732
11,19,451,815
11,11,0,747
6,6,0,736
8,8,0,749
5,5,18,750
1,8,576,754
8,24,732,693
13,20,391,568
12,18,330,536
13,20,424,623
13,21,461,780
9,12,128,762
7,7,0,695
9,9,0,704
7,7,0,708
5,5,5,739
5,16,756,743
13,19,436,682
16,24,467,583
13,20,393,558
13,21,452,625
12,21,483,786
11,19,474,810
9,9,0,732
10,10,0,719
12,12,0,724
8,8,0,744
4,11,577,740
3,11,411,698
15,20,318,565
13,20,369,542
14,22,448,636
13,21,462,787
12,15,191,799
9,9,0,721
7,7,0,738
8,8,0,750
8,8,0,758
7,8,56,760
12,29,979,727
18,33,824,638
16,29,726,556
13,19,373,596
13,22,441,743
13,21,451,807
13,13,0,744
8,8,0,712
8,8,0,714
8,7,0,722
7,7,15,711
7,8,77,710
10,10,35,678
14,23,519,589
14,22,450,576
14,22,443,649
15,24,478,759
14,23,477,786
14,14,0,722
13,13,0,706
10,10,0,708
9,9,0,717
8,20,679,707
7,9,174,693
14,16,139,638
12,15,194,567
12,15,182,598
12,17,265,724
12,17,308,798
13,13,0,750
11,12,102,719
11,11,0,718
11,11,0,738
6,7,83,724
5,15,691,732
14,28,844,681
15,27,682,570
14,25,588,550
14,25,582,633
13,24,579,767
12,15,186,782
7,7,19,703
9,9,0,717
9,9,0,726
6,13,460,730
5,17,832,735
22,39,836,669
13,20,373,557
11,18,399,553
12,20,435,663
11,20,469,794
12,11,0,758
9,12,235,720
10,10,0,726
12,12,0,740
6,6,0,724
5,17,778,727
16,36,639,665
14,22,450,551
13,21,424,535
13,22,473,637
12,21,477,784
12,12,0,767
8,8,0,691
9,9,0,709
9,9,0,717
6,12,374,729
1,14,798,719
15,44,613,649
16,22,358,546
14,20,380,542
15,22,430,668
13,21,443,796
13,13,0,753
8,9,42,699
8,8,0,707
11,11,0,733
9,15,458,720
4,15,710,713
15,26,570,626
11,17,349,534
11,18,394,578
11,19,426,734
11,18,421,810
12,12,0,720
8,8,27,714
10,10,0,722
5,5,0,739
8,14,521,735
0,6,415,705
13,19,366,603
9,16,384,534
10,17,370,590
9,17,405,748
9,17,405,804
11,11,0,716
8,11,197,714
8,8,0,703
4,4,0,720
13,19,456,722
10,15,403,713
12,18,318,627
9,14,302,534
8,13,282,586
7,13,346,726
7,13,362,811
7,7,0,726
6,9,240,697
6,6,0,707
6,6,0,729
5,6,129,723
2,9,500,721
13,24,465,660
12,19,424,538
10,16,386,560
10,17,423,677
9,16,418,774
9,17,458,779
13,13,0,764
6,5,15,707
7,7,0,704
6,6,0,698
6,12,480,691
6,19,911,695
14,30,636,650
14,24,531,589
12,21,496,585
12,21,503,708
11,21,492,791
12,20,486,803
11,11,0,746
10,9,0,728
10,10,0,728
10,10,0,727
6,15,595,723
9,25,690,713
14,27,664,643
11,22,556,558
10,19,482,595
11,21,531,740
10,20,537,814
12,11,0,754
8,8,0,713
9,9,0,721
8,8,0,737
6,12,491,729
5,14,625,724
18,30,656,646
12,23,575,536
10,20,507,567
10,20,541,713
10,21,546,794
11,11,0,726
7,7,0,698
8,8,0,706
3,3,0,714
5,10,409,719
3,8,388,700
17,22,308,604
11,16,286,537
9,13,254,572
9,15,321,715
8,14,331,790
10,10,0,710
7,7,0,688
8,8,0,693
3,3,0,703
3,12,416,719
2,8,398,712
11,16,281,630
7,12,275,548
6,10,242,578
6,12,309,726
8,13,321,803
8,8,0,732
7,7,0,703
7,7,0,711
3,3,21,712
1,7,504,718
1,7,421,673
13,17,306,555
10,15,272,535
10,16,327,630
10,16,358,778
9,15,354,778
10,10,0,718
9,9,0,692
8,8,0,712
6,6,3,706
7,16,672,721
9,17,455,679
17,23,335,601
13,18,303,559
15,20,334,652
15,21,355,785
14,20,365,807
11,11,0,729
10,10,0,721
8,8,0,725
11,11,18,725
11,23,811,726
15,28,687,688
13,17,238,573
12,17,304,528
12,18,362,607
11,18,391,767
9,8,118,780
8,8,0,701
6,6,0,707
7,7,0,718
6,6,0,722
2,8,497,723
0,9,569,690
10,17,415,585
8,14,337,538
8,14,339,590
7,14,372,732
6,14,393,804
10,10,0,751
7,7,0,716
6,6,0,720
8,7,0,717
6,11,369,713
1,11,668,710
14,24,489,631
10,17,414,538
9,15,359,570
9,17,419,702
9,17,422,793
12,12,0,732
7,7,0,701
8,8,0,703
9,9,0,721
8,14,435,702
5,19,828,689
10,22,612,597
8,13,306,517
8,14,303,574
8,15,370,736
9,16,382,794
8,9,0,715
8,8,0,707
9,9,0,713
8,8,23,707
4,13,629,720
8,20,535,677
15,22,406,567
11,18,356,538
11,18,386,605
11,18,404,756
8,13,254,777
9,9,0,685
8,8,0,686
7,7,0,691
2,3,0,691
3,9,487,694
15,23,242,645
14,17,198,526
13,16,193,520
11,16,248,628
9,14,299,777
9,8,0,765
8,8,0,686
10,10,0,709
7,7,0,706
7,10,240,699
3,8,397,715
18,55,746,630
11,16,291,527
11,15,278,553
11,16,334,677
10,16,338,796
9,9,0,744
7,6,0,681
7,6,0,683
7,7,0,700
4,4,0,691
2,10,603,702
7,23,548,649
9,15,312,535
7,12,294,524
7,13,358,605
6,12,359,761
